image,gt_count,YOLOv8_det,YOLOv8_conf,YOLOv8_ms,YOLOv8_prec,YOLOv8_rec,YOLOv8_f1,YOLOv8_ap,Faster_RCNN_det,Faster_RCNN_conf,Faster_RCNN_ms,Faster_RCNN_prec,Faster_RCNN_rec,Faster_RCNN_f1,Faster_RCNN_ap,SSD300_det,SSD300_conf,SSD300_ms,SSD300_prec,SSD300_rec,SSD300_f1,SSD300_ap
image_288_jpg.rf.f2e892bc6cd2f30d37e77d02dd10a77c.jpg,6,1,0.847,180.8,1.0,0.1667,0.2857,0.1818,12,0.849,1631.0,0.0,0.0,0.0,0.0,7,0.66,376.1,0.0,0.0,0.0,0.0
image_278_jpg.rf.9c5897f4e61d453e149ebdf7e09adfc0.jpg,4,1,0.862,189.6,1.0,0.25,0.4,0.2727,8,0.86,1645.4,0.125,0.25,0.1667,0.2727,5,0.854,410.0,0.2,0.25,0.2222,0.2727
image_474_jpg.rf.16aabd29cb7afb05117d5fac449a9f22.jpg,20,0,0.0,217.6,0.0,0.0,0.0,0.0,11,0.755,1831.2,0.5455,0.3,0.3871,0.2545,5,0.709,411.8,0.6,0.15,0.24,0.1591
image_67_jpg.rf.723353cfad8eb6553ab55276dccefbd6.jpg,30,0,0.0,175.3,0.0,0.0,0.0,0.0,12,0.635,1655.2,0.4167,0.1667,0.2381,0.1364,3,0.771,380.5,1.0,0.1,0.1818,0.1818
Image10_JPG_jpg.rf.e65b55528a15904a2d39db988d944b12.jpg,4,2,0.619,184.5,1.0,0.5,0.6667,0.5455,3,0.984,1634.1,0.3333,0.25,0.2857,0.2727,3,0.873,364.8,0.3333,0.25,0.2857,0.1364
image_239_jpg.rf.db5f31b87201af99fc5a9aa3c4e4f9ad.jpg,7,1,0.906,180.6,1.0,0.1429,0.25,0.1818,9,0.92,1646.4,0.1111,0.1429,0.125,0.1818,5,0.838,378.6,0.2,0.1429,0.1667,0.1818
image_317_jpg.rf.b4a7f9144e03075aa4206ad0e6baeac9.jpg,31,0,0.0,176.4,0.0,0.0,0.0,0.0,15,0.69,1655.6,0.4667,0.2258,0.3043,0.2303,7,0.623,380.2,0.5714,0.129,0.2105,0.1429
image_210_jpg.rf.8aa2216ad7ca62957872176a9f4f48c4.jpg,7,1,0.878,180.6,1.0,0.1429,0.25,0.1818,17,0.749,1659.0,0.0588,0.1429,0.0833,0.1818,7,0.798,398.0,0.1429,0.1429,0.1429,0.1818
image_202_jpg.rf.70874a13f62278d6696c7bb3ae629cfa.jpg,23,0,0.0,182.1,0.0,0.0,0.0,0.0,6,0.821,1616.9,0.6667,0.1739,0.2759,0.1636,4,0.598,396.7,0.5,0.087,0.1481,0.0606
image_300_jpg.rf.d31859e2c6877e60588e3633b7ef7030.jpg,8,1,0.748,207.6,1.0,0.125,0.2222,0.1818,15,0.843,1677.2,0.0667,0.125,0.087,0.1818,7,0.769,387.2,0.1429,0.125,0.1333,0.1818
Image29_JPG_jpg.rf.7f1b928802ccdd85fdb1e6f8b40622ed.jpg,3,1,0.839,180.5,1.0,0.3333,0.5,0.3636,5,0.873,1579.4,0.2,0.3333,0.25,0.3636,4,0.865,377.6,0.25,0.3333,0.2857,0.3636
image_257_jpg.rf.5d699a45c5bad4d36851d304df42679e.jpg,10,2,0.749,172.8,1.0,0.2,0.3333,0.2727,16,0.801,1634.1,0.125,0.2,0.1538,0.2273,5,0.755,378.6,0.4,0.2,0.2667,0.1364
image_229_jpg.rf.1bb8caec8bb708d70f339f3eb5a2d754.jpg,6,2,0.676,192.5,0.5,0.1667,0.25,0.1818,12,0.762,1746.7,0.0833,0.1667,0.1111,0.1818,5,0.713,392.3,0.2,0.1667,0.1818,0.0909
image_380_jpg.rf.25e6a667cfffcfd9db3386b0ba350de7.jpg,36,0,0.0,191.1,0.0,0.0,0.0,0.0,22,0.725,1668.4,0.3182,0.1944,0.2414,0.1414,6,0.496,403.6,0.6667,0.1111,0.1905,0.1515
image_307_jpg.rf.05e4191aa56c2650e24084b3ce5d580d.jpg,36,0,0.0,219.0,0.0,0.0,0.0,0.0,15,0.681,1696.8,0.4667,0.1944,0.2745,0.1515,4,0.708,374.7,0.75,0.0833,0.15,0.0909
Image3_JPG_jpg.rf.71da0f1eb59b694b85de3c76498089ba.jpg,3,1,0.835,179.6,1.0,0.3333,0.5,0.3636,5,0.908,1631.5,0.2,0.3333,0.25,0.3636,4,0.87,381.0,0.25,0.3333,0.2857,0.3636
image_166_jpg.rf.4b19bcfd8cfbd79d0fb8d536b02d2f11.jpg,44,0,0.0,189.4,0.0,0.0,0.0,0.0,20,0.727,1703.2,0.55,0.25,0.3438,0.2114,8,0.579,417.3,0.625,0.1136,0.1923,0.1477
image_280_jpg.rf.51dbeadbdb9fa6c0cc18500c4447f71f.jpg,4,1,0.857,180.7,1.0,0.25,0.4,0.2727,10,0.785,1641.7,0.1,0.25,0.1429,0.1364,6,0.804,392.0,0.1667,0.25,0.2,0.2727
image_21_jpg.rf.f3b7c29ae09ccf5592271a9298e70a87.jpg,6,1,0.832,186.8,1.0,0.1667,0.2857,0.1818,16,0.732,1655.0,0.0625,0.1667,0.0909,0.0606,6,0.731,375.1,0.0,0.0,0.0,0.0
